run_date,fund_symbol,fund_name,holding_symbol,holding_name,weight_pct
2026-05-08,0P00017843.BO,Mirae Asset ELSS Tax Saver Fund - Regular Plan - IDCW,,,0
2026-05-08,0P000159Q0.BO,Motilal Oswal ELSS Tax Saver Fund - Direct Plan - Growth Option,,,0
2026-05-08,0P000159Q1.BO,Motilal Oswal ELSS Tax Saver Fund - IDCW Payout,,,0
2026-05-08,0P000159Q2.BO,Motilal Oswal ELSS Tax Saver Fund - Regular Plan - Growth Option,,,0
2026-05-08,0P000159PZ.BO,Motilal Oswal ELSS Tax Saver Fund Direct - IDCW Payout,,,0
2026-05-08,0P000178SL.BO,Navi ELSS Tax Saver Fund - Direct Plan IDCW Payout,,,0
2026-05-08,0P000178SJ.BO,Navi ELSS Tax Saver Fund - Regular Plan IDCW Payout,,,0
2026-05-08,0P000178SK.BO,Navi ELSS Tax Saver Fund- Direct Plan- Growth Option,,,0
2026-05-08,0P000178SI.BO,Navi ELSS Tax Saver Fund- Regular Plan- Growth Option,,,0
2026-05-08,0P0001QH6X.BO,NAVI ELSS TAX SAVER NIFTY 50 INDEX FUND - DIRECT PLAN GROWTH,,,0
2026-05-08,0P0001QH6Y.BO,NAVI ELSS TAX SAVER NIFTY 50 INDEX FUND - DIRECT PLAN IDCW PAYOUT,,,0
2026-05-08,0P0001QH6Z.BO,NAVI ELSS TAX SAVER NIFTY 50 INDEX FUND - REGULAR PLAN GROWTH,,,0
2026-05-08,0P0001QH70.BO,NAVI ELSS TAX SAVER NIFTY 50 INDEX FUND - REGULAR PLAN IDCW PAYOUT,,,0
2026-05-08,0P00015E15.BO,NIPPON INDIA ELSS TAX SAVER FUND - ANNUAL IDCW Option,,,0
2026-05-08,0P00015E14.BO,NIPPON INDIA ELSS TAX SAVER FUND - DIRECT Plan - ANNUAL IDCW Option,,,0
2026-05-08,0P0000XVG1.BO,NIPPON INDIA ELSS TAX SAVER FUND - DIRECT Plan - IDCW Option,,,0
2026-05-08,0P0000XVG0.BO,Nippon India ELSS Tax Saver Fund - Direct Plan Growth Plan - Growth Option,,,0
2026-05-08,0P00005UQK.BO,NIPPON INDIA ELSS TAX SAVER FUND - IDCW Option,,,0
2026-05-08,0P00005UQM.BO,Nippon India ELSS Tax Saver Fund-Growth Plan-Growth Option,,,0
2026-05-08,0P0001QM1Y.BO,NJ ELSS Tax Saver Scheme Direct Growth,,,0
2026-05-08,0P0001QM1Z.BO,NJ ELSS Tax Saver Scheme Direct IDCW,,,0
2026-05-08,0P0001QM20.BO,NJ ELSS Tax Saver Scheme Regular Growth,,,0
2026-05-08,0P0001QM21.BO,NJ ELSS Tax Saver Scheme Regular IDCW,,,0
2026-05-08,0P000175WD.BO,PGIM India ELSS Tax Saver Fund - Direct Plan - Dividend Option,,,0
2026-05-08,0P000175WC.BO,PGIM India ELSS Tax Saver Fund - Direct Plan - Growth Option,,,0
2026-05-08,0P000175WB.BO,PGIM India ELSS Tax Saver Fund - Regular Plan - Dividend Option,,,0
2026-05-08,0P000175WA.BO,PGIM India ELSS Tax Saver Fund - Regular Plan - Growth Option,,,0
2026-05-08,0P0001HZ17.BO,Parag Parikh ELSS Tax Saver Fund- Direct Growth,,,0
2026-05-08,0P0001HZ16.BO,Parag Parikh ELSS Tax Saver Fund- Regular Growth,,,0
2026-05-08,0P0000XW51.BO,quant ELSS Tax Saver Fund - Growth Option - Direct Plan,,,0
2026-05-08,0P00005VCJ.BO,quant ELSS Tax Saver Fund - Growth Option - Regular Plan,,,0
2026-05-08,0P0000XW50.BO,quant ELSS Tax Saver Fund - IDCW Option - Direct Plan,,,0
2026-05-08,0P00005VCK.BO,quant ELSS Tax Saver Fund - IDCW Option - Regular Plan,,,0
2026-05-08,0P0000JXIT.BO,Quantum ELSS Tax Saver Fund - Direct Plan Growth Option,,,0
2026-05-08,0P0000K003.BO,Quantum ELSS Tax Saver Fund - Direct Plan IDCW,,,0
2026-05-08,0P0001A3FA.BO,Quantum ELSS Tax Saver Fund - Regular Plan Growth Option,,,0
2026-05-08,0P0001A3F9.BO,Quantum ELSS Tax Saver Fund - Regular Plan IDCW,,,0
2026-05-08,0P0001PYOW.BO,Samco ELSS Tax Saver Fund - Direct Plan - Growth Option,,,0
2026-05-08,0P0001PYOX.BO,Samco ELSS Tax Saver Fund - Regular Plan - Growth Option,,,0
2026-05-08,0P0000XVL3.BO,SBI ELSS Tax Saver Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW),,,0
2026-05-08,0P0000XVL9.BO,SBI ELSS Tax Saver FUND - DIRECT PLAN -GROWTH,,,0
2026-05-08,0P00005USL.BO,SBI ELSS Tax Saver Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),,,0
2026-05-08,0P00009J48.BO,SBI ELSS Tax Saver FUND - REGULAR PLAN- GROWTH,,,0
2026-05-08,0P0001FAJG.BO,Shriram ELSS Tax Saver Fund - Direct Growth,,,0
2026-05-08,0P0001FAJH.BO,Shriram ELSS Tax Saver Fund - Direct- IDCW,,,0
2026-05-08,0P0001FAJJ.BO,Shriram ELSS Tax Saver Fund - Regular-IDCW,,,0
2026-05-08,0P0001BLNN.BO,Sundaram ELSS Tax Saver Fund Direct Plan - Income Distribution CUM Capital Withdrawal Option (IDCW),,,0
2026-05-08,0P0000XVCZ.BO,Sundaram ELSS Tax Saver Fund Direct Plan Growth,,,0
2026-05-08,0P00005V2U.BO,Sundaram ELSS Tax Saver Fund Regular Growth,,,0
2026-05-08,0P0001BLNO.BO,Sundaram ELSS Tax Saver Fund Regular Plan - Income Distribution CUM Capital Withdrawal Option (IDCW),,,0
2026-05-08,0P0000XVPJ.BO,Tata ELSS Fund- Direct Plan - Payout of IDCW Option,,,0
2026-05-08,0P00005UX3.BO,Tata ELSS Fund- Regular Plan - Payout of IDCW Option,,,0
2026-05-08,0P00014GLS.BO,Tata ELSS Fund-Growth-Direct Plan,,,0
2026-05-08,0P00014GLT.BO,Tata ELSS Fund-Growth-Regular Plan,,,0
2026-05-08,0P0000XVQD.BO,Taurus ELSS Tax Saver Fund - Direct Plan - Growth,,,0
2026-05-08,0P0000XVQA.BO,Taurus ELSS Tax Saver Fund - Direct Plan - Payout of Income Distribution cum Capital Withdrawal option,,,0
2026-05-08,0P00005WID.BO,Taurus ELSS Tax Saver Fund - Regular Plan - Growth,,,0
2026-05-08,0P0000GB2V.BO,Taurus ELSS Tax Saver Fund - Regular Plan - Payout of Income Distribution cum Capital Withdrawal option,,,0
2026-05-08,0P0000XVS4.BO,Union ELSS Tax Saver Fund - Direct Plan - Growth Option,,,0
